 4,   64,  0.600,  0.645,   73,  0.070,  0.043,   75,  0.690,  0.231,   67,  0.080,  0.029,  105,  0.740,  0.351,  115,  0.740,  0.366,
 5,   65,  0.090,  0.097,   74,  0.740,  0.451,   76,  0.090,  0.030,   75,  0.050,  0.018,  114,  0.760,  0.360,  116,  0.150,  0.074,
 6,,,,   75,  0.310,  0.189,   84,  0.310,  0.104,   76,  0.950,  0.342,  115,  0.160,  0.076,  124,  0.300,  0.149,
 7,,,,,,,   85,  0.780,  0.261,   77,  0.300,  0.108,  123,  0.150,  0.071,,,,
 8,,,,,,,   86,  0.400,  0.134,   86,  0.550,  0.198,  124,  0.020,  0.009,,,,
 9,,,,,,,   95,  0.020,  0.007,   87,  0.030,  0.011,,,,,,,
 10,,,,,,,   96,  0.360,  0.120,   96,  0.020,  0.007,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,415,415,415,416,416,416,417,417,417,418,418,418,419,419,419,420,420,420,
 1,  115,  0.010,  0.006,  115,  0.020,  0.014,  103,  0.290,  0.091,  104,  0.200,  0.147,  123,  0.280,  0.217,  130,  0.020,  0.022,
 2,  124,  0.390,  0.217,  116,  0.250,  0.171,  104,  0.060,  0.019,  105,  0.020,  0.015,  124,  0.280,  0.217,  131,  0.090,  0.100,
 3,  125,  0.150,  0.083,  124,  0.050,  0.034,  112,  0.780,  0.245,  113,  0.200,  0.147,  130,  0.480,  0.372,  139,  0.450,  0.500,
 4,  131,  0.680,  0.378,  125,  0.530,  0.363,  113,  0.850,  0.267,  114,  0.280,  0.206,  131,  0.250,  0.194,  140,  0.340,  0.378,
 5,  132,  0.150,  0.083,  131,  0.030,  0.021,  114,  0.010,  0.003,  122,  0.010,  0.007,,,,,,,
 6,  140,  0.200,  0.111,  132,  0.440,  0.301,  121,  0.300,  0.094,  123,  0.590,  0.434,,,,,,,
 7,  141,  0.220,  0.122,  141,  0.140,  0.096,  122,  0.880,  0.277,  130,  0.060,  0.044,,,,,,,
 8,,,,,,,  123,  0.010,  0.003,,,,,,,,,,
 9,,,,,,,,,,,,,,,,,,,
 10,,,,,,,,,,,,,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,421,421,421,422,422,422,501,501,501,502,502,502,503,503,503,504,504,504,
 1,  139,  0.070,  0.091,  141,  0.140,  0.027,    1,  0.250,  0.179,    2,  0.130,  0.140,   11,  0.010,  0.006,    2,  0.110,  0.035,
 2,  140,  0.370,  0.481,  142,  0.110,  0.021,    2,  0.070,  0.050,    4,  0.130,  0.140,   12,  0.350,  0.215,    3,  0.060,  0.019,
 3,  141,  0.180,  0.234,  151,  0.800,  0.154,    4,  0.670,  0.479,    5,  0.350,  0.376,   19,  0.020,  0.012,    5,  0.660,  0.210,
 4,  149,  0.080,  0.104,  152,  0.760,  0.146,    5,  0.030,  0.021,   11,  0.050,  0.054,   20,  0.610,  0.374,    6,  0.480,  0.152,
 5,  150,  0.050,  0.065,  153,  0.000,  0.000,   11,  0.370,  0.264,   12,  0.250,  0.269,   21,  0.030,  0.018,   12,  0.430,  0.137,
 6,  151,  0.020,  0.026,  211,  0.500,  0.096,   12,  0.010,  0.007,   19,  0.010,  0.011,   28,  0.210,  0.129,   13,  0.500,  0.159,
 7,,,,  212,  1.050,  0.202,,,,   20,  0.010,  0.011,   29,  0.400,  0.245,   20,  0.210,  0.067,
 8,,,,  213,  0.400,  0.077,,,,,,,,,,   21,  0.590,  0.187,
 9,,,,  221,  0.030,  0.006,,,,,,,,,,   29,  0.110,  0.035,
 10,,,,  222,  0.790,  0.152,,,,,,,,,,,,,
 11,,,,  223,  0.560,  0.108,,,,,,,,,,,,,
 12,,,,  231,  0.030,  0.006,,,,,,,,,,,,,
 13,,,,  232,  0.030,  0.006,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,505,505,505,506,506,506,507,507,507,508,508,508,509,509,509,510,510,510,
 1,   77,  0.410,  0.205,   86,  0.040,  0.020,  106,  0.040,  0.035,  116,  0.020,  0.074,  116,  0.300,  0.667,  125,  0.260,  0.210,
